,index,no_t_alpha,t1_alpha,t2_alpha,t3_alpha,t4_alpha,t5_alpha,no_t_ds,t1_ds,t2_ds,t3_ds,t4_ds,t5_ds
6231,6231,1.6650691032409668,1.693128228187561,1.7626217603683472,0.7845375537872314,1.6650700569152832,1.6650699377059937,1.0294550729629768,1.058155701433374,1.0525171208918682,1.025619207383773,1.057735521785836,1.0628590837297358
6232,6232,1.7431005239486694,1.719006061553955,1.7628653049468994,1.0164991617202759,1.7431001663208008,1.743100643157959,1.0892568897392438,1.066665483732285,1.0591997125219674,1.0328780427585318,1.0681477640746622,1.06090875134915
6233,6233,1.454026460647583,1.5060076713562012,1.5623068809509277,0.8367192149162292,1.4540289640426636,1.454028844833374,1.052098201206369,1.0820839228568582,1.0597106256580435,1.0441034539412373,1.0826301571848371,1.0821161241993251
6234,6234,1.830932378768921,1.8665889501571655,1.6536866426467896,1.082883358001709,1.830936074256897,1.8309372663497925,1.0308677071389512,1.090158172496099,1.0693813178939704,1.0649226917714607,1.0758128007329768,1.079018822696767
6235,6235,1.7712101936340332,1.7773017883300781,1.7065956592559814,1.0491154193878174,1.7712140083312988,1.7712143659591675,1.013093470055294,1.0910640586349296,1.0829392648562903,1.0652562912590655,1.092585073972413,1.0807998617900896
6236,6236,1.7881232500076294,1.8050484657287598,1.7586930990219116,1.0320405960083008,1.7881187200546265,1.7881180047988892,1.0191775124514284,1.0617322153083135,1.0392253283363784,1.028985983403295,1.048033106011284,1.05866464253067
6237,6237,1.8158024549484253,1.8085911273956299,1.777833104133606,1.1228337287902832,1.8158047199249268,1.8158038854599,1.0159504502315777,1.123006695305538,1.087315369861378,1.0960093533207242,1.1219541426359358,1.1107120078112416
6238,6238,1.6767348051071167,1.6954307556152344,1.7425451278686523,0.9250054359436035,1.6767323017120361,1.6767328977584839,1.0304159369857206,1.0748050754047789,1.0623757255867328,1.048927383600126,1.0639810633912286,1.0655582701722734
6239,6239,1.604741096496582,1.628791332244873,1.5548007488250732,0.9679747819900513,1.6047401428222656,1.6047401428222656,1.0274304801857979,1.0805125504176345,1.0516500996978009,1.0343737415803287,1.0644240842536008,1.0466334890624995
6240,6240,1.7142144441604614,1.7029235363006592,1.679604172706604,1.050691843032837,1.7142165899276733,1.7142168283462524,1.0291946355159622,1.0668090034431237,1.0619556442119664,1.0489550073297944,1.0612629180613309,1.0639155186003035
6241,6241,1.5721497535705566,1.6646974086761475,1.8252640962600708,0.9292162656784058,1.5721484422683716,1.5721501111984253,1.0418263293334118,1.0345979267827443,1.04802714078588,1.0133338263735883,1.048041094831803,1.035111573494584
6242,6242,1.6829142570495605,1.5396596193313599,1.852052092552185,0.9716525077819824,1.6829125881195068,1.6829149723052979,1.0795410917107364,1.049769639275895,1.0411795429179307,1.0189510825846637,1.04344164317325,1.0477739035124938
