,index,no_t_alpha,t1_alpha,t2_alpha,t3_alpha,t4_alpha,t5_alpha,no_t_ds,t1_ds,t2_ds,t3_ds,t4_ds,t5_ds
39,39,-3.4418652057647705,-1.100616216659546,-0.3034220337867737,0.7591588497161865,-3.448143482208252,-3.432846784591675,1.2016101327318356,1.1951650110338596,1.1757740416414852,1.0109141741267105,1.19580207082669,1.201218897200975
40,40,-3.48020601272583,-1.004581093788147,-0.287972092628479,0.7647684216499329,-3.502511978149414,-3.534627914428711,1.2172016747466814,1.2081126425625894,1.1904809497626696,1.0156440178643507,1.214583174704148,1.2167952422389636
41,41,-3.5590760707855225,-1.0128673315048218,-0.3381873071193695,0.4756867289543152,-3.488112449645996,-3.479250907897949,1.2149570154016789,1.2076057672677143,1.1946326617960288,1.0105086198729294,1.2097127558804042,1.2076758629656403
42,42,-3.475656270980835,-0.9263687133789062,-0.2185596078634262,0.8475658297538757,-3.472907304763794,-3.4681520462036133,1.1638351060390963,1.1753117668527,1.136589852905298,1.0166267841445693,1.170006082328616,1.1780051483004037
43,43,-3.62629771232605,-0.9385133981704712,-0.30423811078071594,0.8735972046852112,-3.5417892932891846,-3.5418787002563477,1.2079141281499362,1.2125367777508385,1.1973494263997162,1.0195449963665453,1.2089897634381592,1.2139561502136267
44,44,-3.5307745933532715,-0.9072306752204895,-0.23616333305835724,0.9231855273246765,-3.526587963104248,-3.524763822555542,1.1806357301813484,1.1810111502203304,1.1445522666943826,1.0397148653214905,1.1861929333317875,1.1815122783468135
45,45,-3.877060890197754,-0.8372384309768677,-0.25838837027549744,0.7461718320846558,-3.8781344890594482,-3.884455680847168,1.2074934795105903,1.2040509674390767,1.195422691769555,1.0115600495146104,1.205620470669102,1.200173717043647
46,46,-3.506568193435669,-0.7901139259338379,-0.1437392681837082,0.9057880640029907,-3.497224807739258,-3.4926505088806152,1.1613474536671609,1.1605670129538117,1.1276641281425102,1.102426801180391,1.1681768185750019,1.173002019801879
47,47,-3.5295798778533936,-1.0453636646270752,-0.24982807040214539,0.7007387280464172,-3.5586681365966797,-3.58027720451355,1.212097465408032,1.2164640707081744,1.1979397410411865,1.012935870696101,1.2179904019245835,1.2162134782070895
48,48,-3.485912322998047,-0.9137913584709167,-0.136310413479805,0.8502057790756226,-3.4694011211395264,-3.4722957611083984,1.1744231488662276,1.1747695901930082,1.1350953359679854,1.0696578668892334,1.1820764365278442,1.177051820398943
49,49,-3.616215467453003,-0.9029887914657593,-0.23399131000041962,0.9952326416969299,-3.6072866916656494,-3.577836513519287,1.1927889028245846,1.1947518257816918,1.1645742013092155,1.0328808315554208,1.1860602047970037,1.1897971472081155
50,50,-3.6330788135528564,-0.7920236587524414,-0.2295607477426529,0.8699482679367065,-3.519071102142334,-3.5124223232269287,1.203523673742017,1.193914313645338,1.1857603777663177,1.0375844299468946,1.2048458996722815,1.205862347029069
51,51,-3.549001932144165,-0.9501937627792358,-0.4050655663013458,0.845913827419281,-3.535768508911133,-3.543004035949707,1.2392145378912234,1.2351497524232649,1.2295184288577583,1.0292734570385362,1.2414277686259227,1.2341016784661238
52,52,-3.5889627933502197,-0.9711927175521851,-0.31879231333732605,0.744255542755127,-3.5974292755126953,-3.6174731254577637,1.221190146650422,1.228641839060523,1.2123387317472416,1.0123990514355095,1.2266877958287548,1.2248409025491565
53,53,-3.646038770675659,-0.8395721316337585,-0.2923104166984558,0.6879695653915405,-3.650268316268921,-3.6221084594726562,1.2427821596788866,1.2401993254410744,1.235446938634212,1.0157305987793708,1.245163457403059,1.2406984366565963
54,54,-3.485187292098999,-0.715369701385498,-0.18226763606071472,0.6073615550994873,-3.459263801574707,-3.439152479171753,1.2060842000223742,1.196022751025074,1.194327395604393,1.017139076110109,1.199610166379315,1.194379506254788
55,55,-3.6769707202911377,-0.8082425594329834,-0.21735535562038422,0.7106123566627502,-3.6483566761016846,-3.618901491165161,1.196453765423242,1.1922942541989068,1.167447411686967,1.001252808785759,1.2000402207350107,1.199546713563493
56,56,-3.5878548622131348,-1.1105670928955078,-0.20331065356731415,0.8644097447395325,-3.5377583503723145,-3.5513699054718018,1.1680612697712263,1.1811061407859709,1.1351879782462515,1.017625455857261,1.1773409101283454,1.183036874081681
57,57,-3.654664993286133,-0.8544722199440002,-0.27016544342041016,0.4489753246307373,-3.6507256031036377,-3.672058582305908,1.2461955609900472,1.2391000187961474,1.2361146306621882,1.0100965428863455,1.2440442535797112,1.2415594072385658
58,58,-3.4525392055511475,-0.8468297123908997,-0.1748650074005127,0.6195403933525085,-3.531022310256958,-3.511723041534424,1.2189516929942468,1.2115305903993627,1.1966035262659518,1.0318327092961634,1.2108889455175014,1.212639170841845
59,59,-3.4238269329071045,-1.0283393859863281,-0.3943555951118469,0.6954812407493591,-3.452984094619751,-3.443565607070923,1.2059489351806223,1.2137535847289145,1.1920601056804594,1.00215181366196,1.212877839830823,1.213167686616436
60,60,-3.5826566219329834,-0.84832364320755,-0.060294751077890396,0.716951310634613,-3.585479736328125,-3.5725064277648926,1.1416307698260388,1.144061088326761,1.088750380320084,1.0330204477730154,1.1469468505878915,1.1445056788298817
61,61,-3.584040641784668,-0.7638729214668274,-0.1448076218366623,0.7047286033630371,-3.5542070865631104,-3.5573201179504395,1.182844548231212,1.176314803366426,1.1518495624251455,1.0146468543539153,1.1863627608380907,1.1893554346955302
62,62,-3.608229398727417,-0.8142266869544983,-0.2011546790599823,0.7450875043869019,-3.5811290740966797,-3.5690410137176514,1.1731385290826846,1.1707955698002812,1.1483678496365017,1.0007836240706907,1.1762758869400038,1.1765851530766018
63,63,-3.4858405590057373,-0.8478702306747437,-0.1551823914051056,0.8879251480102539,-3.4673969745635986,-3.4735968112945557,1.166147940595644,1.18012546385866,1.1411722965482627,1.0544760964876003,1.1760835066915958,1.179191960628701
64,64,-3.468008279800415,-0.8609093427658081,-0.1602097600698471,0.8821632266044617,-3.42962384223938,-3.415654182434082,1.1664643640858372,1.1636617540717864,1.1317479563209665,1.00841133040111,1.163856131097577,1.1655416913955339
65,65,-3.535494565963745,-0.9168853163719177,-0.22833766043186188,0.7735654711723328,-3.490931749343872,-3.4911110401153564,1.2215795168635775,1.221346101313236,1.2149211092930372,1.0226701134436749,1.2193342619850083,1.2213971235168322
66,66,-3.497166872024536,-1.2543166875839233,-0.21813420951366425,0.8229014277458191,-3.5103249549865723,-3.5193629264831543,1.1886572822019519,1.1969942100270134,1.169496018415604,1.0201822086853414,1.1993457771252667,1.1944354888310107
67,67,-3.5793981552124023,-0.876241147518158,-0.2998337149620056,0.7763693332672119,-3.5101187229156494,-3.512253999710083,1.234751025946439,1.226897420997087,1.2228700871199527,1.0234382958653108,1.2283082907974783,1.2301410108589188
68,68,-3.483689785003662,-0.9161632657051086,-0.24750100076198578,0.6541563868522644,-3.5589520931243896,-3.509781837463379,1.2211375583953437,1.2260418900089405,1.2167363377962426,1.0186944265563471,1.225041885313481,1.2373121765088353
69,69,-3.5536115169525146,-0.9012607336044312,-0.21511366963386536,0.9108978509902954,-3.463291883468628,-3.462661027908325,1.165204151483054,1.1716377590060112,1.1322068976196098,1.0874049616304526,1.177361302553491,1.1694087946729672
70,70,-3.5675742626190186,-0.9416691660881042,-0.12391664832830429,0.6631571054458618,-3.506779909133911,-3.5049407482147217,1.1653618171497429,1.1708076723442815,1.127323387752296,1.0045190247884228,1.171678499228407,1.1745482863816836
71,71,-3.5964927673339844,-0.9454060792922974,-0.2554144561290741,0.7881031632423401,-3.5480175018310547,-3.536902666091919,1.2023525053785074,1.202878356741741,1.187997658022916,1.037778294424472,1.2044759607124447,1.204265554017018
72,72,-3.587026357650757,-1.1323397159576416,-0.23075410723686218,0.58064866065979,-3.560837507247925,-3.586588144302368,1.2182987339837434,1.221418704986882,1.2125933290716489,1.014749638407003,1.2232113897624675,1.2235384642412852
73,73,-3.5306851863861084,-0.7846159934997559,-0.12956690788269043,0.7502627968788147,-3.517885684967041,-3.515148401260376,1.1826510471805538,1.176324056906086,1.1527000408954076,1.0162808324799983,1.1891797272007245,1.186981721303495
74,74,-3.566551446914673,-0.9678851366043091,-0.3305220603942871,0.8253393769264221,-3.6068644523620605,-3.618809700012207,1.20715837188018,1.2028442446576386,1.1837671823184335,1.056142594124679,1.2078479037222274,1.2045246368939164
75,75,-3.4795520305633545,-1.105629563331604,-0.35631492733955383,0.633139967918396,-3.475470781326294,-3.486532688140869,1.2228268324063158,1.2250771028990635,1.2069591722804702,1.0074190122670628,1.2136682130135144,1.218535318395563
76,76,-3.664001226425171,-0.9000012278556824,-0.2929939329624176,0.7310309410095215,-3.607799768447876,-3.6168925762176514,1.2482938819354636,1.2469704351753192,1.2332940049159842,1.0260067502007368,1.2461815910222622,1.242168796982554
77,77,-3.4586563110351562,-0.8506712913513184,-0.026555702090263367,0.7566902041435242,-3.4993255138397217,-3.5125277042388916,1.1393912644344302,1.1561729488863035,1.116373439031678,0.988957615101943,1.1505329532122637,1.151204177466512
78,78,-3.519981861114502,-0.9647988080978394,-0.16953043639659882,0.8501513600349426,-3.415647506713867,-3.4187700748443604,1.1843379076017826,1.1941267736296648,1.1629825380590153,1.0179641850386176,1.194768242685079,1.1935027126044768
